Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Oklahoma,OK,55,40,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Oklahoma,OK,339,135,47,42
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Oklahoma,OK,1009,216,146,65
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Oklahoma,OK,960,225,290,111
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Oklahoma,OK,10490,851,1605,325
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Oklahoma,OK,48,36,8,13
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Oklahoma,OK,110,80,40,55
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Oklahoma,OK,685,232,80,63
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Oklahoma,OK,125,58,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Oklahoma,OK,130,94,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Oklahoma,OK,35,30,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Oklahoma,OK,105,65,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Oklahoma,OK,20,18,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Oklahoma,OK,698,218,52,43
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Oklahoma,OK,1880,360,458,168
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Oklahoma,OK,712,333,188,144
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Oklahoma,OK,145,111,50,55
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Oklahoma,OK,60,42,,
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Oklahoma,OK,85,65,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Oklahoma,OK,130,150,60,90
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Oklahoma,OK,280,95,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Oklahoma,OK,110,102,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Oklahoma,OK,50,56,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Oklahoma,OK,86,74,14,21
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Oklahoma,OK,2148,372,819,201
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Oklahoma,OK,1899,413,273,117
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Oklahoma,OK,834,302,249,126
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Oklahoma,OK,1781,451,633,323
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Oklahoma,OK,285,157,120,81
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Oklahoma,OK,755,263,230,103
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Oklahoma,OK,115,95,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Oklahoma,OK,245,180,45,35
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Oklahoma,OK,15,31,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Oklahoma,OK,245,156,50,51
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Oklahoma,OK,20,27,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Oklahoma,OK,70,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Oklahoma,OK,110,82,65,56
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Oklahoma,OK,25,25,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Oklahoma,OK,75,98,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Oklahoma,OK,55,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Oklahoma,OK,230,135,70,76
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Oklahoma,OK,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Oklahoma,OK,100,63,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Oklahoma,OK,85,100,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Oklahoma,OK,185,145,55,59
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Oklahoma,OK,15,16,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Oklahoma,OK,75,81,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Oklahoma,OK,85,66,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Oklahoma,OK,50,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Oklahoma,OK,6915,637,3520,428
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Oklahoma,OK,445,168,190,91
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Oklahoma,OK,965,248,465,181
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Oklahoma,OK,200,89,120,77
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Oklahoma,OK,2007,414,747,224
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Oklahoma,OK,4498,588,2339,353
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Oklahoma,OK,404,190,235,138
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Oklahoma,OK,3215,633,1089,275
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Oklahoma,OK,991,261,545,185
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Oklahoma,OK,1610,367,797,244
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Oklahoma,OK,15084,1222,8935,783
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kirghiz,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Oklahoma,OK,70,74,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Oklahoma,OK,715,328,220,158
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Oklahoma,OK,1145,567,170,95
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Oklahoma,OK,120,95,45,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Oklahoma,OK,2375,481,660,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Oklahoma,OK,450,145,60,48
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Oklahoma,OK,1400,379,1110,324
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Oklahoma,OK,125,108,95,77
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Paleo-siberian,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Oklahoma,OK,3381,506,994,257
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Oklahoma,OK,420,146,160,93
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Oklahoma,OK,215,118,45,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Oklahoma,OK,270,112,95,56
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Oklahoma,OK,85,54,25,25
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pangasinan,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Oklahoma,OK,60,49,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Oklahoma,OK,260,105,175,99
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Oklahoma,OK,360,213,40,36
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Oklahoma,OK,1095,323,420,203
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,Oklahoma,OK,225,101,130,81
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,Oklahoma,OK,35,61,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Oklahoma,OK,200,108,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Oklahoma,OK,35,36,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,Oklahoma,OK,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Oklahoma,OK,165,105,40,67
ALL OTHER LANGUAGES,Navajo,Navajo,Oklahoma,OK,169,64,41,31
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Arapaho,Oklahoma,OK,20,20,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Oklahoma,OK,290,120,20,19
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Oklahoma,OK,50,37,,
ALL OTHER LANGUAGES,Other Native North American languages,Fox,Oklahoma,OK,80,59,,
ALL OTHER LANGUAGES,Other Native North American languages,Kickapoo,Oklahoma,OK,320,154,110,85
ALL OTHER LANGUAGES,Other Native North American languages,Miami,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,Oklahoma,OK,85,61,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Oklahoma,OK,65,40,,
ALL OTHER LANGUAGES,Other Native North American languages,Puget Sound Salish,Oklahoma,OK,50,60,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Oklahoma,OK,80,95,,
ALL OTHER LANGUAGES,Other Native North American languages,Kiowa,Oklahoma,OK,590,178,25,24
ALL OTHER LANGUAGES,Other Native North American languages,Yuchi,Oklahoma,OK,150,135,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Oklahoma,OK,45,65,,
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Oklahoma,OK,185,126,,
ALL OTHER LANGUAGES,Other Native North American languages,Chiwere,Oklahoma,OK,65,51,20,21
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kansa,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,Oklahoma,OK,15,20,,
ALL OTHER LANGUAGES,Other Native North American languages,Osage,Oklahoma,OK,385,150,,
ALL OTHER LANGUAGES,Other Native North American languages,Ponca,Oklahoma,OK,155,62,25,26
ALL OTHER LANGUAGES,Other Native North American languages,Quapaw,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Oklahoma,OK,2515,287,330,79
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Oklahoma,OK,3120,390,370,91
ALL OTHER LANGUAGES,Other Native North American languages,Keres,Oklahoma,OK,50,52,,
ALL OTHER LANGUAGES,Other Native North American languages,Wyandot,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Oklahoma,OK,4785,449,695,131
ALL OTHER LANGUAGES,Other Native North American languages,Caddo,Oklahoma,OK,80,93,,
ALL OTHER LANGUAGES,Other Native North American languages,Pawnee,Oklahoma,OK,65,40,,
ALL OTHER LANGUAGES,Other Native North American languages,Wichita,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,Oklahoma,OK,790,235,75,52
ALL OTHER LANGUAGES,Other Native North American languages,Paiute,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ute,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pima,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Oklahoma,OK,340,194,35,22
ALL OTHER LANGUAGES,Hungarian,Hungarian,Oklahoma,OK,176,86,46,30
ALL OTHER LANGUAGES,Arabic,Arabic,Oklahoma,OK,4111,740,1341,449
ALL OTHER LANGUAGES,Hebrew,Hebrew,Oklahoma,OK,489,181,13,17
ALL OTHER LANGUAGES,African languages,Amharic,Oklahoma,OK,575,323,240,173
ALL OTHER LANGUAGES,African languages,Chadic,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,African languages,Sudanic,Oklahoma,OK,90,121,10,29
ALL OTHER LANGUAGES,African languages,Swahili,Oklahoma,OK,690,269,50,63
ALL OTHER LANGUAGES,African languages,Bantu,Oklahoma,OK,340,164,55,60
ALL OTHER LANGUAGES,African languages,Mande,Oklahoma,OK,80,87,,
ALL OTHER LANGUAGES,African languages,Fulani,Oklahoma,OK,80,72,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Oklahoma,OK,2470,505,450,203
ALL OTHER LANGUAGES,African languages,Efik,Oklahoma,OK,90,69,,
ALL OTHER LANGUAGES,African languages,African,Oklahoma,OK,50,51,35,44
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Oklahoma,OK,40,36,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Oklahoma,OK,65,81,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Oklahoma,OK,55,54,55,54
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Oklahoma,OK,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,Oklahoma,OK,285,363,285,363
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Oklahoma,OK,140,66,,
ENGLISH,English,English,Oregon,OR,3096638,6214,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Oregon,OR,319160,3362,143040,3384
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Oregon,OR,11275,892,1485,316
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Oregon,OR,524,195,50,48
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Oregon,OR,2816,364,385,128
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Oregon,OR,2005,417,475,162
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Oregon,OR,15170,1066,1740,256
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Oregon,OR,154,118,3,7
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Oregon,OR,2080,285,195,84
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Oregon,OR,345,171,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Oregon,OR,955,266,100,122
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Oregon,OR,660,253,75,50
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Oregon,OR,1000,290,55,54
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Oregon,OR,850,215,171,81
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Oregon,OR,21884,2124,9177,1021
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Oregon,OR,1183,306,323,155
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Oregon,OR,1205,446,610,251
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Oregon,OR,220,105,45,45
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Oregon,OR,375,170,190,119
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Oregon,OR,35,53,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Oregon,OR,5955,1327,3065,618
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Oregon,OR,735,188,95,75
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Oregon,OR,115,82,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Oregon,OR,570,288,235,185
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Oregon,OR,475,251,110,62
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Oregon,OR,3375,655,1231,328
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Oregon,OR,4783,700,701,270
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Oregon,OR,621,337,179,156
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Oregon,OR,813,331,118,114
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Oregon,OR,95,64,45,36
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Oregon,OR,890,386,270,172
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Oregon,OR,1190,544,415,205
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Oregon,OR,695,330,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Oregon,OR,100,82,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Oregon,OR,1045,492,885,468
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Oregon,OR,80,87,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Oregon,OR,465,395,195,158
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Oregon,OR,355,232,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Oregon,OR,15,17,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Oregon,OR,45,54,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Oregon,OR,120,160,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Oregon,OR,5665,955,2350,667
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Oregon,OR,20,19,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Oregon,OR,460,247,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Oregon,OR,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Oregon,OR,305,194,140,102
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Oregon,OR,165,102,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Oregon,OR,170,98,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Oregon,OR,165,145,80,66
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Oregon,OR,230,184,75,61
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Oregon,OR,18555,1379,9970,928
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Oregon,OR,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Oregon,OR,3425,582,1910,402
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Oregon,OR,3855,592,1405,334
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Oregon,OR,555,200,255,150
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Oregon,OR,9313,904,3226,452
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Oregon,OR,10382,999,4868,553
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Oregon,OR,2947,665,1434,356
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Oregon,OR,799,284,249,134
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Oregon,OR,2130,482,1131,283
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Oregon,OR,2594,580,1165,299
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Oregon,OR,25813,1430,16415,1180
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Oregon,OR,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Oregon,OR,645,255,280,164
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Oregon,OR,1605,541,430,312
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Oregon,OR,745,335,110,94
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Oregon,OR,400,176,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Oregon,OR,1680,441,190,115
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Oregon,OR,215,105,70,48
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Oregon,OR,895,510,680,378
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Oregon,OR,155,129,110,123
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Oregon,OR,1500,448,755,278
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Paleo-siberian,Oregon,OR,195,226,115,153
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Oregon,OR,8452,797,2388,388
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Oregon,OR,920,269,300,155
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Oregon,OR,95,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Oregon,OR,295,128,85,61
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Oregon,OR,90,69,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Oregon,OR,330,275,160,176
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Oregon,OR,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Oregon,OR,550,325,85,91
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Carolinian,Oregon,OR,70,75,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Oregon,OR,420,198,65,81
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Oregon,OR,565,227,160,103
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Mokilese,Oregon,OR,25,38,25,38
