Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Washington,3495,709,1640,485,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Cham,Washington,195,164,105,121,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Javanese,Washington,50,65,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Washington,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Washington,400,166,115,73,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Washington,1125,354,595,199,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Washington,620,214,220,111,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pangasinan,Washington,140,91,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Washington,3175,626,1355,380,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bikol,Washington,150,153,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Washington,220,132,55,53,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Washington,355,312,195,195,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Carolinian,Washington,65,73,25,31,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Washington,3630,592,585,200,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Kusaiean,Washington,230,237,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Washington,2105,675,1025,376,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Washington,605,281,195,139,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Washington,80,54,45,44,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Washington,775,381,270,137,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,Washington,100,101,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Washington,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Washington,8800,1019,2145,347,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Washington,855,338,260,163,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tokelauan,Washington,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Washington,255,136,50,52,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Maori,Washington,145,211,90,135,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Washington,545,173,140,131,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Washington,335,166,18,14,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Aleut,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Washington,60,45,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Washington,55,41,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Washington,45,48,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Atsina,Washington,25,39,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Washington,50,50,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,Washington,75,55,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cree,Washington,20,21,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Washington,50,39,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Makah,Washington,115,84,45,71,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kwakiutl,Washington,170,102,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nootka,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Upper Chehalis,Washington,4,8,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Clallam,Washington,145,94,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Coeur d'Alene,Washington,25,34,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Columbia,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Salish,Washington,670,173,55,31,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Okanogan,Washington,25,27,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Puget Sound Salish,Washington,135,59,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Quinault,Washington,130,88,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Twana,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Athapascan,Washington,35,41,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hupa,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Washington,60,63,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tlingit,Washington,30,39,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nomlaki,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Santiam,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,Washington,55,54,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Sahaptian,Washington,815,378,100,52,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Upper Chinook,Washington,20,27,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Pomo,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Havasupai,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yuchi,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mandan,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Washington,140,74,10,12,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Washington,100,72,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Washington,70,103,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Washington,160,92,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Comanche,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ute,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shoshoni,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Chinook Jargon,Washington,15,11,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Washington,250,104,15,17,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kalispel,Washington,15,19,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Washington,1410,318,423,122,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Washington,12482,1364,5443,873,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Washington,2336,534,236,106,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Washington,15960,1740,7590,929,,,,
ALL OTHER LANGUAGES,.African languages,..Berber,Washington,60,87,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Washington,135,156,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Washington,13925,1471,6965,1037,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,Washington,210,134,80,80,,,,
ALL OTHER LANGUAGES,.African languages,..Nilotic,Washington,100,150,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Saharan,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Washington,3630,871,1145,422,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Washington,1930,645,545,325,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Washington,1430,558,470,280,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Washington,960,495,265,163,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Washington,2455,540,495,242,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Mbum (and related),Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Washington,90,57,40,39,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Washington,1145,232,210,108,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Washington,280,129,60,71,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Washington,140,130,80,102,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Basque,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Washington,35,28,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Washington,395,445,230,254,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Washington,325,197,285,161,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Chibchan,Washington,75,116,75,116,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Tupi-Guarani,Washington,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Washington,165,84,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,West Virginia,1707752,1652,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,West Virginia,18310,1022,6785,675,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,West Virginia,3105,407,825,203,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,West Virginia,40,57,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,West Virginia,8,11,2,3,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,West Virginia,1380,235,274,127,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,West Virginia,380,132,60,43,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,West Virginia,2890,391,650,197,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,West Virginia,165,157,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,West Virginia,165,95,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,West Virginia,30,31,25,30,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,West Virginia,405,122,67,38,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,West Virginia,760,304,163,121,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,West Virginia,369,142,46,40,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,West Virginia,165,233,80,124,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,West Virginia,30,27,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,West Virginia,105,80,25,25,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,West Virginia,65,51,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,West Virginia,85,88,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,West Virginia,356,179,69,71,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,West Virginia,366,133,49,46,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,West Virginia,297,149,82,69,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,West Virginia,421,188,78,73,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,West Virginia,120,93,40,57,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,West Virginia,410,222,65,61,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,West Virginia,90,110,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,West Virginia,90,77,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,West Virginia,305,154,165,115,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,West Virginia,20,16,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,West Virginia,35,34,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,West Virginia,35,30,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,West Virginia,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,West Virginia,20,29,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,West Virginia,2110,412,1165,282,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,West Virginia,60,50,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,West Virginia,220,119,95,59,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,West Virginia,80,130,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,West Virginia,605,178,391,155,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,West Virginia,906,268,368,169,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",West Virginia,16,22,12,21,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,West Virginia,469,183,156,89,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,West Virginia,61,50,35,43,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,West Virginia,870,329,527,245,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,West Virginia,135,68,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,West Virginia,455,205,65,47,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,West Virginia,55,68,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,West Virginia,130,94,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,West Virginia,95,100,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,West Virginia,55,50,20,20,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,West Virginia,1087,266,314,139,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,West Virginia,110,103,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,West Virginia,35,37,20,23,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,West Virginia,20,23,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,West Virginia,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,West Virginia,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,West Virginia,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,West Virginia,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,West Virginia,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,West Virginia,11,15,3,4,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..French Cree,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shawnee,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Alabama,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohawk,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,West Virginia,90,82,55,74,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,West Virginia,40,35,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,West Virginia,179,100,35,35,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,West Virginia,1867,456,629,243,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,West Virginia,158,123,17,25,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,West Virginia,205,155,90,79,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,West Virginia,30,28,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,West Virginia,165,136,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,West Virginia,40,39,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",West Virginia,345,194,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Arawakian,West Virginia,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,West Virginia,185,108,55,88,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Wisconsin,4893195,4475,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Wisconsin,243560,3071,104735,2305,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Wisconsin,12380,859,1995,259,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Wisconsin,130,73,20,24,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Wisconsin,254,118,3,5,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Wisconsin,4940,501,1242,242,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Wisconsin,1345,307,240,91,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Wisconsin,36400,1200,6940,456,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Wisconsin,45,27,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Wisconsin,178,91,19,23,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Wisconsin,7205,726,1970,205,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Wisconsin,3040,332,695,158,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Wisconsin,370,241,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Frisian,Wisconsin,15,15,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Wisconsin,850,230,85,47,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Wisconsin,450,161,45,32,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Wisconsin,2035,268,255,71,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Wisconsin,70,62,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Wisconsin,2372,450,644,237,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Wisconsin,5758,721,2509,370,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Wisconsin,6894,603,1733,276,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Wisconsin,1175,405,555,294,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Wisconsin,785,222,165,76,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Wisconsin,2955,558,1280,347,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Wisconsin,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Wisconsin,840,291,300,135,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Wisconsin,775,170,195,82,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Wisconsin,535,140,70,56,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Wisconsin,640,211,225,112,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Wisconsin,120,71,40,33,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Wisconsin,320,118,120,65,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Wisconsin,257,116,22,25,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Wisconsin,870,215,286,106,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Wisconsin,4831,622,907,261,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Wisconsin,1521,469,621,232,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Wisconsin,3188,641,938,267,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Wisconsin,310,195,110,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Wisconsin,710,205,155,77,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Wisconsin,1730,470,685,253,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Wisconsin,585,231,130,81,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Wisconsin,30,40,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Wisconsin,795,415,520,387,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Wisconsin,160,178,70,107,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Wisconsin,290,215,155,118,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Wisconsin,195,164,70,72,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Wisconsin,45,42,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Wisconsin,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Wisconsin,195,242,NA,NA,,,,
